summary_id	score	coverage	faithfulness	terminal_result	article_similarity	anchor_similarity	article_rank_in_50	anchor_rank_in_sampled_14
50162696_6b12766c	79	18	42	None	0.7649	0.802	1	1
35278497_5a694519	55	17	20	None	0.7959	0.7945	1	1
52000333_a8b27666	0	None	None	OBVIOUS_TRUNCATION	0.7073	0.6374	1	1
41875333_06c27e30	98	28	50	None	0.8587	0.8569	1	1
40490051_5d9feeef	43	16	8	None	0.846	0.7818	1	1
52000333_8c3c9670	73	22	31	None	0.7724	0.6968	1	1
37426493_6baeebc9	60	20	20	None	0.8678	0.8623	1	1
50469832_9a5ac32c	96	27	49	None	0.7996	0.9157	1	1
55155049_a6c5b888	70	22	28	None	0.8628	0.8335	1	1
45715110_c95cebb3	86	16	50	None	0.702	0.7507	1	1
36881141_86804cfb	0	None	None	OBVIOUS_TRUNCATION	0.6651	0.6653	1	1
48116477_4d229e3c	88	18	50	None	0.7014	0.6466	1	1
44708203_6d931562	0	None	None	OFF_TOPIC	0.3193	0.2963	14	1
35278497_af8a0e59	68	19	29	None	0.7464	0.8059	1	1
40490051_08737554	97	28	49	None	0.8538	0.8176	1	1
